Timestamp,Name,Grade,Age,music_hours,does_destress,I listen to music to get motivated ,I listen to music to have a good time,I listen to music get through hard times,What is your favorite genre of music to listen to?,Who is your favorite artist?,song1,song2,song3,song4,song5
11/18/2021 9:16:18,student1,11,16,2-4 hours,I agree,I agree,I agree,I agree,EDM/pop,maroon 5,Sad,Motivated,Motivated,Happy,Sad
11/18/2021 9:20:48,student2,11,16,6+ hours,I agree,I agree,I agree,I agree,Any,Coldplay,Neutral,Happy,Motivated,Neutral,Neutral
11/18/2021 9:25:28,student3,10,16,6+ hours,I agree,I agree,I agree,I agree,Acoustic Pop,Taylor Swift,Happy,Motivated,Motivated,Neutral,Neutral
11/18/2021 9:48:34,student4,11,16,4-6 hours,I agree,I agree,I agree,I agree,pop,dua lipa,Happy,Happy,Motivated,Neutral,Happy
11/18/2021 9:55:39,student5,11,16,6+ hours,I disagree,I disagree,I agree,I agree,Idk I like all but hard rock and country,"Current joys, her, Taylor Swift, phoebe bridgers, Harry styles",Neutral,Neutral,Neutral,Neutral,Happy
11/18/2021 12:42:22,student6,12,17,6+ hours,I agree,I agree,I agree,I agree,Pop,,Sad,Neutral,Happy,Neutral,Neutral
11/18/2021 12:42:27,student7,12,17,6+ hours,I agree,I agree,I agree,I agree,Rap,"Tyler, the creator ",Neutral,Upset,Motivated,Happy,Happy
11/18/2021 12:42:27,student8,12,17,6+ hours,I agree,I agree,,I agree,Acoustic Rock,James Taylor,Neutral,Motivated,Stressed out,Neutral,Stressed out
11/18/2021 12:42:27,student9,12,16,6+ hours,I agree,I agree,I agree,I agree,pop,Kanye,Sad,Happy,Happy,Neutral,Happy
11/18/2021 12:42:31,student10,12,18,6+ hours,I agree,I agree,I agree,I disagree,R&B or Kpop,Billie Eilish,Sad,Happy,Upset,Neutral,Motivated
11/18/2021 12:42:31,student11,12,17,6+ hours,I agree,I agree,I agree,I agree,Rap,Playboi Carti,Upset,Upset,Upset,Happy,Neutral
11/18/2021 12:42:32,student12,12,17,4-6 hours,I agree,I agree,I agree,I agree,"Rock, EDM, rap, pop",Eagles,Neutral,Happy,Happy,Neutral,Stressed out
11/18/2021 12:42:32,student13,12,17,2-4 hours,I agree,I agree,I agree,I agree,pop,Ed Sheeran,Neutral,Happy,Motivated,Neutral,Neutral
